model,cv_mean_roc_auc,cv_std_roc_auc
DummyClassifier,0.5,0.0
LogisticRegression,0.8474032456176903,0.011332395944237374
RandomForest,0.8476838924202592,0.009975143945960293
XGBoost,0.8468877178934484,0.010401172862199583
